grad_year,major_names,minor_names,studied_abroad_or_plan_to,study_abroad_location,birthdate,age_years,shoe_size,height_cm,read_all_harry_potter,favorite_ice_cream,Frozen_peas,Baseball_TV,Saints_hockey,Sergis_anything,Cold_weather,Swimming_lessons,registered_vote,blood_type,number_siblings,laptop_os
Senior (2025),Biology,Art and Art History,Yes,Ecuador ,4/17/03,21,6,155,TRUE,Black rasberry,5,1,1,4,3,2,Yes,Type A,1,PC
Junior (2026),Conservation biology,Anthropology (not declared yet),Yes,Ecuador,5/18/04,20,10,172,TRUE,Maine wild blueberry,1,2,4,3,3,3,Yes,Type AB,1,Mac
Junior (2026),Biology,NA,No,not going abroad,12/24/03,20,11,180,TRUE,cookies and cream,3,4,2,2,3,1,No,Type AB,1,PC
Senior (2025),Biology,Statistics and Chemistry,No,Sweden,3/7/03,21,15,200.6,TRUE,Mint Choclate Chip,4,1,2,1,4,3,Yes,Type 0,2,PC
Senior (2025),Biology,Statistics,Yes,New Zealand,10/6/02,21,9.5,172,TRUE,Strawberry,3,1,5,4,1,4,Yes,Type 0,1,PC
Senior (2025),Biology and Global Studies ,NA,Yes,"Australia Spring Ô24, London Summer Ô24",3/5/02,22,7,167,FALSE,Blueberry Cheesecake ,1,3,5,3,2,5,No,Type B,2,PC
Junior (2026),Conservation Biology,Government,Yes,I'm hoping to study in Kenya this summer.,3/24/04,20,8,172,TRUE,birthday bash,3,2,5,3,1,3,Yes,Type A,0,Mac
Junior (2026),Biology and Statistics,NA,Yes,Denmark,2/16/04,20,9,172.72,TRUE,Peanut butter cup,2,3,4,3,2,2,Yes,Type A,3,Mac
Senior (2025),Environmental Science/Biology,African Studies/Statistics,Yes,Kenya and Ecuador,7/15/03,21,11,182,TRUE,salted caramel,2,3,5,5,2,3,Yes,Type B,2,Mac
Senior (2025),Conservation Bio,Stats,No,n/a,10/31/02,21,10.5,180,TRUE,Chocolate,3,1,3,3,3,2,Yes,Type A,2,Mac
Junior (2026),Conservation Biology,"Statistics, Outdoor Studies",No,I plan to study abroad in NZ next Spring,7/14/04,20,9,167.64,FALSE,S'mores,3,4,4,4,2,2,Yes,Type AB,1,Mac
Senior (2025),psychology + biomedical sciences,NA,No,NA,1/16/03,21,8,165,TRUE,caramel mocha,2,1,4,4,2,2,Yes,Type 0,2,Mac
Senior (2025),Biomedical science ,Statistics ,No,N/A,2/19/03,21,9.5,180.34,FALSE,Peach,3,1,4,2,3,2,Yes,Type B,3,Mac
Senior (2025),Biology ,NA,Yes,Italy ,5/19/03,21,8,160,TRUE,chocolate ,1,2,4,3,1,2,Yes,Type A,0,Mac
Senior (2025),Conservation Biology ,Creative Writing ,No,N/A,1/9/03,21,7.5,155,TRUE,Chocolate peanut butter,2,2,4,2,3,2,No,Type B,4,Mac
Junior (2026),Environmental Science-Biology Combined,Probably Sociology,Yes,New Zealand,1/19/04,20,10.5,181,TRUE,Salted Caramel,1,4,5,3,2,3,Yes,Type AB,2,PC
Junior (2026),Neuroscience,statisitcs and chemistry,Yes,I did the summer course in London,5/17/04,20,8.5,167.64,TRUE,grapenut,2,4,5,3,2,3,Yes,Type A,1,PC
Senior (2025),Mathematics ,"Chemistry, Asian Studies ",Yes,I studied abroad in Japan in spring 2023,12/2/02,21,9.5,171,TRUE,Mint Chocolate Chip ,4,1,4,3,1,5,Yes,Type A,0,PC
Senior (2025),"Biology, Math",Outdoor Studies,No,I do not plan to go abroad,7/9/03,21,9.5,172,FALSE,Cookies and Cream,2,4,5,3,3,1,Yes,Type B,4,PC
Junior (2026),Biology and Statistics,N/A,Yes,Denmark,2/16/04,20,9,173,TRUE,Peanut butter cup,2,3,4,3,2,2,Yes,Type A,3,Mac
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,